Task_Type,Question,Essay,Examiner_Commen,Task_Response,Coherence_Cohesion,Lexical_Resource,Range_Accuracy,Overall,clean_essay
2,In some countries young people are encouraged to work or travel for a year between finishing high school and starting university studies. Discuss the advantages and disadvantages for young people who decide to do this .,"Over decades, there has been a belief that adults should support adolescents to work in a company or travel to another country at least one year before going to university. Despite the fact that there are many positive aspects of having experiences in terms of working and travelling before studying at university, with a careful consideration, there are also negative points of this.
It is true that working or travelling before starting a university program positively affects juveniles’ development. A classic example of this is an effective way to truly understand their academic preferences. When juveniles have work experiences, such as having a one-year internship in a company, they tend to learn a wide variety of work functions, helping them know the academic discipline they want to learn at university. Another benefit from taking a long journey to another place before studying at university is the opportunity to get exposed to new culture. This is because while adolescents are on an epic expedition to other parts of the world, they tend to meet new people with different nationality and belief, leading to valuable life experiences that they cannot receive from a professor at university.
In spite of the aforementioned advantages of working or travelling before starting university courses, there are also drawbacks. A common example of this is graduating from a college late, compared to juveniles who immediately start a university program after they finish high school. This is exemplified by Thai culture which believes that young people who graduate from university later than their peer would not have a successful career path. In addition, opponents of this notion might argue that working before finishing university is not well worth doing. Since most works require a strong academic foundation in order for juveniles to deliver results with fewer mistakes, the juveniles should study at university instead.
In conclusion, it is undeniable that having work experiences or taking a journey before starting a university life has many benefits for young people with respect to knowing the academic fields they want to study and learning new cultures outside a classroom. Nevertheless, doing this could also have drawbacks in terms of the delay in university graduation and an ineffective performance in working.",,,,,,7.5,decades belief adults support adolescents work company travel another country least one year going university despite fact many positive aspects experiences terms working travelling studying university careful consideration also negative points true working travelling starting university program positively affects juveniles development classic example effective way truly understand academic preferences juveniles work experiences internship company tend learn wide variety work functions helping know academic discipline want learn university another benefit taking long journey another place studying university opportunity get exposed new culture adolescents epic expedition parts world tend meet new people different nationality belief leading valuable life experiences receive professor university spite aforementioned advantages working travelling starting university courses also drawbacks common example graduating college late compared juveniles immediately start university program finish high school exemplified thai culture believes young people graduate university later peer would successful career path addition opponents notion might argue working finishing university well worth since works require strong academic foundation order juveniles deliver results fewer mistakes juveniles study university instead conclusion undeniable work experiences taking journey starting university life many benefits young people respect knowing academic fields want study learning new cultures outside classroom nevertheless could also drawbacks terms delay university graduation ineffective performance working
1,"The two tables below show the exchange students from universities in Europe to Australia between 2007 and 2009.Summaries the information by selecting and reporting the main features, and make comparisons where relevant.","Information is presented in two tables which compare the number of students exchanging between universities in Europe and Australia in two different years (2007 and 2009).
Overall, it can be clearly seen that the popularity of exchange students from universities in Europe to Australia is more than that of exchange students from Australia universities to universities in Europe in both years.
Turning to the first main feature in the first table, a modest 27 students in Germany joined the exchange program to universities in Australia in 2007. The figure for exchange students from Germany to Australia then soared to a precise 62 in 2009. On the other hand, there was a decrease of an exact 5 people in the figure for exchange students from universities in the United Kingdom to universities in Australia, from 31 people in 2007 to 26 people in 2009. Nevertheless, the number of exchange students in Netherland remained unchanged at an exact 36 in both 2007 and 2009.
Focusing further on another main feature in the second table, each of 32 students from universities in the United Kingdom and Netherland exchanged to universities in Australia in 2007. In 2009 the number of exchange students from the United Kingdom and Netherland fell to a modest 23 and 18 respectively. On the contrary, there was a substantial rise of a massive 21 people in the figure for exchange students from France to Australia, from an exact 37 people in 2007 to a precise 58 people in 2009.
The last key point to note is the total number of exchange students in both tables. There were 189 and 226 exchange students from universities in Europe to Australia universities in 2007 and 2009 respectively. On the other hand, the figure for students exchanging from Australia to Europe was remained stable at a modest 152 in both years.",,,,,,8.5,information presented two tables compare number students exchanging universities europe australia two different years 2007 2009 overall clearly seen popularity exchange students universities europe australia exchange students australia universities universities europe years turning first main feature first table modest 27 students germany joined exchange program universities australia figure exchange students germany australia soared precise 62 hand decrease exact 5 people figure exchange students universities united kingdom universities australia 31 people 2007 26 people nevertheless number exchange students netherland remained unchanged exact 36 2007 focusing another main feature second table 32 students universities united kingdom netherland exchanged universities australia 2009 number exchange students united kingdom netherland fell modest 23 18 respectively contrary substantial rise massive 21 people figure exchange students france australia exact 37 people 2007 precise 58 people last key point note total number exchange students tables 189 226 exchange students universities europe australia universities 2007 2009 respectively hand figure students exchanging australia europe remained stable modest 152 years
2,The advantages of the spread of English as a global language will continue to outweigh its disadvantages. To what extent do you agree or disagree?,"There is currently a contentious argument that using English as an international language will always have more benefits than drawbacks. Despite the use of English, which has been spreading globally, has positive effects on communication in various aspects, I personally believe that the disadvantages of the spread of English will eventually be more significant.
It is true that when more and more countries use English as a common language, the advantages of this implementation will outweigh its negative consequences. A classic example of this is that people from any country could communicate to each other in the easier way. This is because there will be no language barrier, preventing people to deliver their messages to others. Furthermore, using English globally tend to have less misunderstanding when communicating. This is exemplified by natives who live in the same country and speak the same language. These people can understand what each other say completely. Therefore, in terms of global perspective, if everyone has conversations in English, misleading communication tend to be less occurred.
In spite of the aforementioned positive consequences of the growing use of English, there are also potential drawbacks. A common example of this is the missing of some languages. Languages which are only used by small groups of people tend to fade away due to the fact that the majority of people would pay more attention to English without conserving these languages. In addition, nations that do not apply English as an international language tend to have small global economic growth. This is because most countries in international markets can understand English. Hence, countries whose people are unable to apply English could inevitably have less opportunities to make commercial deals with other countries, having the ability to speak English.
In conclusion, it is undeniable that the spread of English positively affects the way people from different countries communicate to each other and significantly decreases inaccurate information in conversations. Nevertheless, as this development can lead to the lost in other languages and the declining economy of some countries, I totally disagree with the notion that the advantages of the increasing popularity of English will continue to outweigh the disadvantages. This is because I personally think that the aforementioned negative impacts are the two most crucial aspects when using English.",,,,,,8.5,currently contentious argument using english international language always benefits drawbacks despite use english spreading globally positive effects communication various aspects personally believe disadvantages spread english eventually significant true countries use english common language advantages implementation outweigh negative consequences classic example people country could communicate easier way language barrier preventing people deliver messages others furthermore using english globally tend less misunderstanding communicating exemplified natives live country speak language people understand say completely therefore terms global perspective everyone conversations english misleading communication tend less occurred spite aforementioned positive consequences growing use english also potential drawbacks common example missing languages languages used small groups people tend fade away due fact majority people would pay attention english without conserving languages addition nations apply english international language tend small global economic growth countries international markets understand english hence countries whose people unable apply english could inevitably less opportunities make commercial deals countries ability speak english conclusion undeniable spread english positively affects way people different countries communicate significantly decreases inaccurate information conversations nevertheless development lead lost languages declining economy countries totally disagree notion advantages increasing popularity english continue outweigh disadvantages personally think aforementioned negative impacts two crucial aspects using english
1,"The two tables below show the exchange students from universities in Europe to Australia between 2007 and 2009.Summaries the information by selecting and reporting the main features, and make comparisons where relevant.","The first table shows us the exchange students from universities in Europe to Australia between 2007 and 2009. Overall, the statistic reported that students from Europe countries came to Australia stayed fluctuated depended on each nation. The amount of students who moved to Australia from Europe in 2009 is risened from the amount of 189 belonged to the year 2007. The second table shows us exchange students from universities in Australia to Europe between 2007 and 2009. Overall, the statistic reported that students from Australia came to Europe countries stayed fluctuated depended on each nation. The amount of students who moved to Europe from Australia in 2009 is stable to the amount of students leaving abroad from Australia in the year 2007. Therefore, the analysis shows a comparison in which students in Europe prefer moving foward to Australia rather than staying in their area and students in Australia prefer to keep going in their nation than trvel abroad. Some demonstrations can be illustrated. Majorly, countries export their students from Europe frequently owns a higher amount of students who travel abroad to Australia in both years, whereas, the estimated amount of students in Australia who travel to foreigner's universities is less than from Europe in the both 2007 and 2009. Furthermore, the total amount of students from Europe who came to Australia showed that it is rising year by year, especially from 2007 to 2009, scrutinizing the amount of students who traveled from Australia to Europe, it is still staying sustain for 2 years, proved that students in Europe prefer moving foward to Australia rather than staying in their area and students in Australia prefer to keep going in their nation than trvel abroad. To summarize, Australia is assumed as better working and learning conditions due to the illustrations from two of the tables",,,,,,4.5,first table shows us exchange students universities europe australia 2007 overall statistic reported students europe countries came australia stayed fluctuated depended nation amount students moved australia europe 2009 risened amount 189 belonged year second table shows us exchange students universities australia europe 2007 overall statistic reported students australia came europe countries stayed fluctuated depended nation amount students moved europe australia 2009 stable amount students leaving abroad australia year therefore analysis shows comparison students europe prefer moving foward australia rather staying area students australia prefer keep going nation trvel abroad demonstrations illustrated majorly countries export students europe frequently owns higher amount students travel abroad australia years whereas estimated amount students australia travel foreigner universities less europe 2007 furthermore total amount students europe came australia showed rising year year especially 2007 2009 scrutinizing amount students traveled australia europe still staying sustain 2 years proved students europe prefer moving foward australia rather staying area students australia prefer keep going nation trvel abroad summarize australia assumed better working learning conditions due illustrations two tables
2,The advantages of the spread of English as a global language will continue to outweigh its disadvantages. To what extent do you agree or disagree?,"Nowadays, English is commonly demonstrating its' efficiency for the understanding of knowledge in variety of fields, such as economy, biology, psychology, politic and an abundance in opportunity for jobs and employments. Human with their awareness, cognition reveal that the advantages of the spread of English as a global language will continue to outweigh its disadvantages. I agree with this statement. Firstly, English as a primary invention for interactions and social communicating have been playing an important role for the innovative development of the society, to identify, some countries in the world are colonized by the United Kingdom became more revolutional and now developed, as a consequence, the culture of learning the international language which is English is spreaded through nations and generations of migrating from countries to countries, this create a better understanding and initialize investments between the developed and the undeveloped ones through an international language. Moreover, English is a both logical and basic international language, throughout years of developing, English with its' improvements in meanings and pronunciations, is recognized as a familiarity to everyone, it is gradually becoming easier and not too complicated for people to learn, as a result, English can expedite the problem of language barrier and easily becomes a global language. Furthermore, English as an international language with its' ease and uncomplicated structures can get people the opportunity to get themselves their employment, since English is already known as a popularity in ways of interacting with languages, verbal communication, if English can be spreaded, it can cure the problems of unemployment and a lack of work force. In summarize, English is an amazing language, with its' growth, we can hope for a better perspective, and for a better communication.",,,,,,5.0,nowadays english commonly demonstrating efficiency understanding knowledge variety fields economy biology psychology politic abundance opportunity jobs employments human awareness cognition reveal advantages spread english global language continue outweigh disadvantages agree statement firstly english primary invention interactions social communicating playing important role innovative development society identify countries world colonized united kingdom became revolutional developed consequence culture learning international language english spreaded nations generations migrating countries countries create better understanding initialize investments developed undeveloped ones international language moreover english logical basic international language throughout years developing english improvements meanings pronunciations recognized familiarity everyone gradually becoming easier complicated people learn result english expedite problem language barrier easily becomes global language furthermore english international language ease uncomplicated structures get people opportunity get employment since english already known popularity ways interacting languages verbal communication english spreaded cure problems unemployment lack work force summarize english amazing language growth hope better perspective better communication
1,"The two tables below show the exchange students from universities in Europe to Australia between 2007 and 2009.Summaries the information by selecting and reporting the main features, and make comparisons where relevant.","These two tables depict the students movment between Europe and Australia universities in 2007 and 2009. It's clear from the tables that the students that moved from Europe to Australia is more.
According to what is shown , students that moved from Europe to Australia had the largest number . Students moved especially from France had the largest propotion with 121 students . The total increased from 189 student to 226 during two years.
On other hand , the transfer movement in the oppisite way had a less number of students. The total of students moved from Australia to Europe was 304 during two years . France had the largest number of students that moved in between 2009 and 2007 . While Netherland recorded the lowest number in 2009 by 18 student.
To sum up , the transfer movment to Europe was lower than the movment to Australia with a difference to nearly 100 student.",,,,,,5.0,two tables depict students movment europe australia universities 2007 clear tables students moved europe australia according shown students moved europe australia largest number students moved especially france largest propotion 121 students total increased 189 student 226 two years hand transfer movement oppisite way less number students total students moved australia europe 304 two years france largest number students moved 2009 2007 netherland recorded lowest number 2009 18 student sum transfer movment europe lower movment australia difference nearly 100 student
2,The advantages of the spread of English as a global language will continue to outweigh its disadvantages. To what extent do you agree or disagree?,"There is no doubt that these days more people is learning and talking by English language. The question is, is this viral of English has a negative view or not? In this essay I will discuss and draw my personal conclusion.
In terms of advantages there is many. Firstly, this spread of English language wil make the communication easier more than before . In other words, travelling to a new country that you are not speak there language is not a big problem these days because most of people are speaking English or at least know the main essential questions and there answers .To illustrate, If you are travelling to Italy you don't have to learn Italian language your English will be enough. Secondly, some languages are hard to learn like Chinese and Turkish, so using the English as a united language is much easier than using other language.
Moreover the massive spread to English may had some disadvantages the main given reason I support this claim is that the consist of using English language in countries will make some other languages disappear. To illustrate, some countries now are choosing not to speak with their naive language and replace it with English in work and school and all daily conversations. On other hand, some countries like Turkey most of their citizens will ignore you when you don't ask them with Turkish.
In conclusion, although this spread of English may diminish other languages, but still having English language is important. That's why I believe that using English is essential especially if you are working with international companies and collegues.",,,,,,6.0,doubt days people learning talking english language question viral english negative view essay discuss draw personal conclusion terms advantages many firstly spread english language wil make communication easier words travelling new country speak language big problem days people speaking english least know main essential questions answers illustrate travelling italy learn italian language english enough secondly languages hard learn like chinese turkish using english united language much easier using language moreover massive spread english may disadvantages main given reason support claim consist using english language countries make languages disappear illustrate countries choosing speak naive language replace english work school daily conversations hand countries like turkey citizens ignore ask turkish conclusion although spread english may diminish languages still english language important believe using english essential especially working international companies collegues
1,"The two tables below show the exchange students from universities in Europe to Australia between 2007 and 2009.Summaries the information by selecting and reporting the main features, and make comparisons where relevant.","The two diagrams compare the number of exchange students from European universities to Australia, and from universities in Australia to Europe spanning from 2007 through 2009.
Overall, the total amout of students from Australia universities to universities in Europe during two years of span is much smaller than the total amout of students from universities in Europe to Australia. Over the period of two years, more exchange students from European universities study in Australia.
According to the first table, it is apparent that total number of students study from universities in Europe to Australia increase between 2007 to 2009, where it accounts from 189 to 226 people. Among all the Europeans countries, the number of exchange students from Germany to Australia rises significantly over the span of two years. The number of students there climbs to almost triple of the original number of students in 2007. However, the second table clearly shows the total number of exchange students from Australia universities to universities in Europe from 2007 to 2009 remain the same, reaching 152 numbers of students.
We can see from the two tables below, both the amounts of students from universities in Europe to Australia in 2007 and 2009 are bigger than the amounts of students from Australia universities to European universities, in which the number of students from universities in Europe to Australia in 2009 is the biggest of all, having 226 students study in Australia, whereas in 2009, only 152 students goes from Australia universities to universities in Europe.",,,,,,6.0,two diagrams compare number exchange students european universities australia universities australia europe spanning 2007 overall total amout students australia universities universities europe two years span much smaller total amout students universities europe australia period two years exchange students european universities study australia according first table apparent total number students study universities europe australia increase 2007 2009 accounts 189 226 people among europeans countries number exchange students germany australia rises significantly span two years number students climbs almost triple original number students however second table clearly shows total number exchange students australia universities universities europe 2007 2009 remain reaching 152 numbers students see two tables amounts students universities europe australia 2007 2009 bigger amounts students australia universities european universities number students universities europe australia 2009 biggest 226 students study australia whereas 2009 152 students goes australia universities universities europe
2,The advantages of the spread of English as a global language will continue to outweigh its disadvantages. To what extent do you agree or disagree?,"In today's life, English is one of the biggest common language in the world. It is often argued that the benefits of learning English as a global language will superior to its drawbacks continueously. I completely agree with this idea due to the fact that English is one of the easiest language to learn and most education system in the world involve English as one of the courses.
English should be continue to use as a global langauge because it is easy to learn. Each language in the world involves different movings of the tongue in the mouth, but some of the languages have similar tongue positions with English, such as Italian, Spanish and French. It will be difficult for people in the world to start adapting a new language and using completely different tongue positions. For example, chinese, one of the most challengeable langauge in the world, it mostly does not need the support of the tongue to touch the teeth or anything else. It is hard for people with other mother language to adapt the pronounciation. Therefore, one of the biggest advantages of English as a common language is the easyness of it.
In addition to the easyness of English, numorous education systems in the world include English as one of the important subjects to learn support the benefits of English that will continue to overseed its disadvantages. Since English as one of the spreading languages in the world lasts for many years. A lots of generations learn English since their childhood and English already take a huge part of their educational studies. It is hard for people to abandon this language and step out of their comfort zone. For instance, one of my best chilldhood friend learn English for almost 6 years, but since she went to Spain for two years as exchange students, she get used to the way of learn English, instead of Spanish, so she fell her grade there. It is clear that English as one of the essential courses in world, it has an important connection with the education system globally and it has a huge influence in our studies.
In conclusion, the easyness of learning English and the crucial role of it in the educations system support my opinion that I completely believe that the advantages of spreading English as an important language in the world will keep outweigh its flaws.",,,,,,6.5,today life english one biggest common language world often argued benefits learning english global language superior drawbacks continueously completely agree idea due fact english one easiest language learn education system world involve english one courses english continue use global langauge easy learn language world involves different movings tongue mouth languages similar tongue positions english italian spanish french difficult people world start adapting new language using completely different tongue positions example chinese one challengeable langauge world mostly need support tongue touch teeth anything else hard people mother language adapt pronounciation therefore one biggest advantages english common language easyness addition easyness english numorous education systems world include english one important subjects learn support benefits english continue overseed disadvantages since english one spreading languages world lasts many years lots generations learn english since childhood english already take huge part educational studies hard people abandon language step comfort zone instance one best chilldhood friend learn english almost 6 years since went spain two years exchange students get used way learn english instead spanish fell grade clear english one essential courses world important connection education system globally huge influence studies conclusion easyness learning english crucial role educations system support opinion completely believe advantages spreading english important language world keep outweigh flaws
1,"The two tables below show the exchange students from universities in Europe to Australia between 2007 and 2009.Summaries the information by selecting and reporting the main features, and make comparisons where relevant.","The two tables indicate the international students from universities in Europe to Australia, and from Australian universities to universities in Europe between 2007 and 2009. Overall, An increase in total can be seen from European students to Australia in 2009, while the total number of Australian student remained the same from 2007 to 2009.
To go into detail, there are two countries the number of students increased from European international students to Australia. Specifically, It is Sweden, and Germany. It was 34,27 in 2007 in Sweden and Germany, whereas it was 42 and 62 in Sweden and Germany in 2009 respectively. Especially in German students, the number doubled. On the other hand, other countries, such as France, the United Kingdom, and the Netherland can be seen a slight reduction from 2007 to 2009. But the total number increased from 189 to 226, in 2007, and 2009.
When it comes to Australian international students who study in Europe, have not changed the total number of students. It is 152, in 2007 and 2009. On the other hand, the number of students soared in two countries, such as France, and Germany.It was 37, 18 in France, and Germany in 2007 respectively. It increased to 58, 26 in France and Germany. In contrast, there are reduction in three countries, in Sweden, The United Kingdom, and the Netherlands. Especially in the Netherland, the number of Australian students plummeted from 32 to 18 between 2007 and 2009.
France and Germany in 2009.",,,,,,7.5,two tables indicate international students universities europe australia australian universities universities europe 2007 overall increase total seen european students australia 2009 total number australian student remained 2007 go detail two countries number students increased european international students australia specifically sweden germany 2007 sweden germany whereas 42 62 sweden germany 2009 respectively especially german students number doubled hand countries france united kingdom netherland seen slight reduction 2007 total number increased 189 226 2007 comes australian international students study europe changed total number students 152 2007 hand number students soared two countries france 37 18 france germany 2007 respectively increased 58 26 france germany contrast reduction three countries sweden united kingdom netherlands especially netherland number australian students plummeted 32 18 2007 france germany 2009
2,The advantages of the spread of English as a global language will continue to outweigh its disadvantages. To what extent do you agree or disagree?,"Since the middle of the 19th century, English is recognized as the most important language and world common language. There is a variety of advantages because the number of English speakers, including non-native speakers has been increasing across the globe. I strongly agree with this phenomenon.
To go into detail, European countries, such as Switzerland, and Belgium are configured with some languages in one country, such as German, French, and Italian. Therefore, English is categorized as a common language in these countries. In addition, the US and European countries have been leading in a variety of fields, such as science, technology, and academic topics. Therefore, some countries, including Germany, the Netherlands, and north European countries followed learning English to keep up with technology. Therefore, the number of non-native speakers has widely and drastically increased in Europe to communicate smoothly. As a result, since internet technology has widely spread around the world, Japanese people can search for any kind of information in English more than five times higher than searching for the same information in Japanese. Therefore, learning English is inevitable for Japanese people, as well as other Asian countries or developing countries.
Fortunately, thanks to recent technology, it is getting easier to study English. For example, online English lessons, such as Cambly allows us to learn English 24/7. In addition, in some social media, the name of an app ""Club House"" is a convenient app to have a conversation with the same users worldwide. Therefore, we can easily share cultural differences and tips to improve our English skill.
In contrast, some people are concerned about their own native language might be vanished in the future. In Iceland, although there is a native language, ""Icelandish"" language still remains and is spoken in Iceland, but some people are anxious the language's complex grammar and vocabulary are difficult to explain in some detail. According to the researcher, they are astonished young students are all hanging out only in English, instead of Icelandish. Therefore, the government has been making an effort to maintain the native language by taking advantage of national Media such as, podcast, radio, TV broadcast are only spoken in Icelandish language.
Finally, thanks to English language, more people are willing to communicate with a lot of people who speak English. This phenomenon is not only convenient to understand cultural differences, but also helpful to learn a variety of subject in English for developing countries, like in the Philipinnes. Tagalogue language is limited to cover some vocabulary to learn academic subjects.
In conclusion, English will continuously spread worldwide.",,,,,,7.0,since middle 19th century english recognized important language world common language variety advantages number english speakers including speakers increasing across globe strongly agree phenomenon go detail european countries switzerland belgium configured languages one country german french italian therefore english categorized common language countries addition us european countries leading variety fields science technology academic topics therefore countries including germany netherlands north european countries followed learning english keep technology therefore number speakers widely drastically increased europe communicate smoothly result since internet technology widely spread around world japanese people search kind information english five times higher searching information japanese therefore learning english inevitable japanese people well asian countries developing countries fortunately thanks recent technology getting easier study english example online english lessons cambly allows us learn english addition social media name app club house convenient app conversation users worldwide therefore easily share cultural differences tips improve english skill contrast people concerned native language might vanished future iceland although native language icelandish language still remains spoken iceland people anxious language complex grammar vocabulary difficult explain detail according researcher astonished young students hanging english instead icelandish therefore government making effort maintain native language taking advantage national media podcast radio tv broadcast spoken icelandish language finally thanks english language people willing communicate lot people speak english phenomenon convenient understand cultural differences also helpful learn variety subject english developing countries like philipinnes tagalogue language limited cover vocabulary learn academic subjects conclusion english continuously spread worldwide
1,"The two tables below show the exchange students from universities in Europe to Australia between 2007 and 2009.Summaries the information by selecting and reporting the main features, and make comparisons where relevant.","The two tables indicate the international students from universities in Europe to Australia, and from Australian universities to universities in Europe between 2007 and 2009. Overall, An increase in total can be seen from European students to Australia in 2009, while the total number of Australian student remained the same from 2007 to 2009.
To go into detail, there are two countries the number of students increased from European international students to Australia. Specifically, It is Sweden, and Germany. It was 34,27 in 2007 in Sweden and Germany, whereas it was 42 and 62 in Sweden and Germany in 2009 respectively. Especially in German students, the number doubled. On the other hand, other countries, such as France, the United Kingdom, and the Netherland can be seen a slight reduction from 2007 to 2009. But the total number increased from 189 to 226, in 2007, and 2009.
When it comes to Australian international students who study in Europe, have not changed the total number of students. It is 152, in 2007 and 2009. On the other hand, the number of students soared in two countries, such as France, and Germany.It was 37, 18 in France, and Germany in 2007 respectively. It increased to 58, 26 in France and Germany. In contrast, there are reduction in three countries, in Sweden, The United Kingdom, and the Netherlands. Especially in the Netherland, the number of Australian students plummeted from 32 to 18 between 2007 and 2009.
France and Germany in 2009.",,,,,,7.5,two tables indicate international students universities europe australia australian universities universities europe 2007 overall increase total seen european students australia 2009 total number australian student remained 2007 go detail two countries number students increased european international students australia specifically sweden germany 2007 sweden germany whereas 42 62 sweden germany 2009 respectively especially german students number doubled hand countries france united kingdom netherland seen slight reduction 2007 total number increased 189 226 2007 comes australian international students study europe changed total number students 152 2007 hand number students soared two countries france 37 18 france germany 2007 respectively increased 58 26 france germany contrast reduction three countries sweden united kingdom netherlands especially netherland number australian students plummeted 32 18 2007 france germany 2009
2,The advantages of the spread of English as a global language will continue to outweigh its disadvantages. To what extent do you agree or disagree?,"Since the middle of the 19th century, English is recognized as the most important language and world common language. There is a variety of advantages because the number of English speakers, including non-native speakers has been increasing across the globe. I strongly agree with this phenomenon.
To go into detail, European countries, such as Switzerland, and Belgium are configured with some languages in one country, such as German, French, and Italian. Therefore, English is categorized as a common language in these countries. In addition, the US and European countries have been leading in a variety of fields, such as science, technology, and academic topics. Therefore, some countries, including Germany, the Netherlands, and north European countries followed learning English to keep up with technology. Therefore, the number of non-native speakers has widely and drastically increased in Europe to communicate smoothly. As a result, since internet technology has widely spread around the world, Japanese people can search for any kind of information in English more than five times higher than searching for the same information in Japanese. Therefore, learning English is inevitable for Japanese people, as well as other Asian countries or developing countries.
Fortunately, thanks to recent technology, it is getting easier to study English. For example, online English lessons, such as Cambly allows us to learn English 24/7. In addition, in some social media, the name of an app ""Club House"" is a convenient app to have a conversation with the same users worldwide. Therefore, we can easily share cultural differences and tips to improve our English skill.
In contrast, some people are concerned about their own native language might be vanished in the future. In Iceland, although there is a native language, ""Icelandish"" language still remains and is spoken in Iceland, but some people are anxious the language's complex grammar and vocabulary are difficult to explain in some detail. According to the researcher, they are astonished young students are all hanging out only in English, instead of Icelandish. Therefore, the government has been making an effort to maintain the native language by taking advantage of national Media such as, podcast, radio, TV broadcast are only spoken in Icelandish language.
Finally, thanks to English language, more people are willing to communicate with a lot of people who speak English. This phenomenon is not only convenient to understand cultural differences, but also helpful to learn a variety of subject in English for developing countries, like in the Philipinnes. Tagalogue language is limited to cover some vocabulary to learn academic subjects.
In conclusion, English will continuously spread worldwide.",,,,,,7.0,since middle 19th century english recognized important language world common language variety advantages number english speakers including speakers increasing across globe strongly agree phenomenon go detail european countries switzerland belgium configured languages one country german french italian therefore english categorized common language countries addition us european countries leading variety fields science technology academic topics therefore countries including germany netherlands north european countries followed learning english keep technology therefore number speakers widely drastically increased europe communicate smoothly result since internet technology widely spread around world japanese people search kind information english five times higher searching information japanese therefore learning english inevitable japanese people well asian countries developing countries fortunately thanks recent technology getting easier study english example online english lessons cambly allows us learn english addition social media name app club house convenient app conversation users worldwide therefore easily share cultural differences tips improve english skill contrast people concerned native language might vanished future iceland although native language icelandish language still remains spoken iceland people anxious language complex grammar vocabulary difficult explain detail according researcher astonished young students hanging english instead icelandish therefore government making effort maintain native language taking advantage national media podcast radio tv broadcast spoken icelandish language finally thanks english language people willing communicate lot people speak english phenomenon convenient understand cultural differences also helpful learn variety subject english developing countries like philipinnes tagalogue language limited cover vocabulary learn academic subjects conclusion english continuously spread worldwide
